Tweet	Target	Stance	Sentiment
delight_NN chest-drumming_JJ alpha_NN males_NNS hiss_VBP scuttle_VBP backwards_NNS wall_NN feminist_NN enter_VBZ room_NN manly_RB	Feminist Movement	FAVOR	neg
overheat_NN shirt_NN social_JJ expectations_NNS people_NNS breast_NNS	Feminist Movement	FAVOR	neg
feminists_NNS spend_VBD 1/2_CD time_NN read_VBG paper_NNS tumblr_IN real_JJ people_NNS not_RB ignorant_JJ sexist_JJ bigots_NNS	Feminist Movement	AGAINST	neg
stupid_JJ feminists_NNS civilization_NN grant_VBN build_VBN labour_NN blood_NN sweat_NN tear_NNS men_NNS	Feminist Movement	AGAINST	neg
girl_NN sex_NN drive_NN !?_NN slut_NN feminist_NN	Feminist Movement	FAVOR	neg
sun_NNS ...._VBP dress_VBZ street_NN harassment_NN daily_JJ life_NN women_NNS @everydaysexism_NN	Feminist Movement	FAVOR	neg
women_NN right_NNS human_JJ right_NNS join_NN cpd_NN voice_NNS twitter_RB rally_RB 3pm_CD agree_VBP cpd48_NN	Feminist Movement	FAVOR	pos
support_VBP unequal_JJ price_NN base_VBN gender_NN @camillebogrand_NN call_VB sexism_NN equal_JJ pay_NN day_NN	Feminist Movement	FAVOR	neg
picture_NNS pornstars_NNS with/without_IN makeup_NN perpetuate_VBG myth_NN women_NNS makeup_NN consider_VBN pretty_RB	Feminist Movement	FAVOR	neg
women_NNS protect_VB carry_VBP gun_NN republican_JJ value_NNS	Feminist Movement	FAVOR	pos
link_NNS sauga_NN gotta_NN stop_VB chincing_VBG girls_NNS take_VBG extra_JJ bite_NN equality_NN	Feminist Movement	FAVOR	neg
rt_NN @isocynic_NN support_NN team_NN buck_NN support_VBZ true_JJ fan_NN socceroos_NN body_NN positive_JJ	Feminist Movement	NONE	pos
tire_VBN anti-womanist_JJ respectability_NN politics_NNS safe_JJ space_NN women_NNS club_NN interview_NN	Feminist Movement	FAVOR	neg
feminist_NN hate_VBP men_NNS kill_VB	Feminist Movement	AGAINST	neg
women_NNS make_VB 75%_CD men_NNS job_NN women_NNS average_NN make_VBP men_NNS feminazis_RB equal_JJ pay_NN day_NN	Feminist Movement	AGAINST	neg
@lucyblakeman12_NN feminism_RB life_NN survive_JJ speak_JJ w/o_NN	Feminist Movement	FAVOR	neg
mras_NNS enlighten_VB flight_NN hindenburg_NN	Feminist Movement	FAVOR	neg
girls/women_NNS spend_VB time_NN pretty_RB attractive_JJ complain_VB reduce_VBN sex_NN symbol_NN	Feminist Movement	AGAINST	neg
@randomtweetor_NN hate_VBP break_VB bruh_VB women_NNS pretty_VB pretty_RB show_VB women_NNS feminist_VBP	Feminist Movement	FAVOR	neg
job_NN candidate_NN gender_NN gender_NN matter_RBR anymore_RB 2015_CD paul_NN henry_NN	Feminist Movement	FAVOR	pos
woman_NN black_JJ eye_NNS nothing_NN tell_VBN	Feminist Movement	AGAINST	neg
gender_VB stereotype_NNS develop_VBN begin_NN 18_CD century_NN gender_NN	Feminist Movement	FAVOR	neg
time_NN gender_NN equality_NN	Feminist Movement	FAVOR	pos
chip_NN kidd_NN announce_VBZ readers_NNS ask_VBZ hold_VB applause_NN audience_NN hold_VBD back_RP @gloriasteinem_NN poetry_NN	Feminist Movement	NONE	pos
women_NNS pay_VBN men_NNS pornography_NN no_DT talk_VBG blatant_JJ sexism_NN ?!_NNP @amazingatheist_NN	Feminist Movement	AGAINST	neg
patriarchy_NN women_NNS blame_VBN prostitution_NN justice_JJ inequality_NN	Feminist Movement	FAVOR	neg
marry_JJ 49-year-old_JJ ceo_NN power_NN influence_NN shag_VB 22-year-old_JJ intern_NN hillary_NN	Feminist Movement	FAVOR	neg
love_VBP girl_NN @ericwynalda_NN @meganrapinoe_15_NN hell_NN @foxsports1_NNP diminish_VB women_NN soccer_NN wnt_VBP	Feminist Movement	FAVOR	neg
men_NNS talk_VB voice_NN important_JJ goddess_NN deserve_NN silence_VBN	Feminist Movement	FAVOR	pos
finally_RB women_NNS run_VBG president_NN	Feminist Movement	FAVOR	pos
piss_VBD talk_VBN	Feminist Movement	FAVOR	neg
@sirwilliamvalen_NN insult_NN think_VBG make_VB switch_NN write_VBN	Feminist Movement	NONE	neg
@yaahnemba_NNS think_VBD blue_JJ jeans_NNS hat_VBZ not_RB world_NN make_VBN	Feminist Movement	NONE	neg
women_NNS right_NNS !!_NN	Feminist Movement	FAVOR	pos
@theruies_NNS @xdirtydianna_VBP not_RB part_NN squad_NN females_VBZ guy_NNS look_VBN hoe_NN	Feminist Movement	FAVOR	neg
upset_VBZ people_NNS narrow-minded_JJ feminism_VB stereotype_VBG men_NNS not_RB	Feminist Movement	FAVOR	neg
obsess_VBN woman_NN comfortable_NN skin_NN sandra_VB cisneros_JJ latin_JJ woc_NN	Feminist Movement	FAVOR	pos
yell_VBN boyfriend_NN win_VB mortal_JJ kombat_NN	Feminist Movement	FAVOR	neg
extinction_NN insects_NNS dangerous_JJ herbs_NN gigolo_NN service_NNS religious_JJ fanaticism_NN fake_JJ beercans-y_JJ malaysia_NN radio&media_NN fail2discuss_NN	Feminist Movement	NONE	neg
rt_NN @wgsndsu_NN demand_NN cat-calling_JJ cat_NNS ndsu_JJ feminist_JJ feminist_NN cat_NNS dog_NNS	Feminist Movement	FAVOR	pos
find_VB funny_JJ feminists_VBZ man_NN understand_VB mean_VBZ	Feminist Movement	AGAINST	neg
@myrainbowninja_NN @notallbhas_IN farm_NN fuck_VBG disgust_VBG	Feminist Movement	NONE	neg
rt_NN @rossansguil_NN nothing_NN dudes_NNS joke_VBG molest_VBG face_NN	Feminist Movement	FAVOR	neg
read_VBG gg_JJ tweet_NNS angrier_RB fuuuuuuuuuuuck_VBN men_NNS privilege_VBN time_NN bed_NN feminism_NN great_JJ	Feminist Movement	FAVOR	neg
@fudgieebuddiee_NNS girls_NNS sensitive_JJ gender_NN roles_NNS sexist_VBP swine_VB	Feminist Movement	FAVOR	neg
@danibchristen_JJ greater_JJR understand_NN ur_NN superior_JJ mine_VB lol_NN dont_VBP feminism_NN	Feminist Movement	AGAINST	neg
gotta_VB fuck_NN never_RB feel_VB gotta_VBP fuck_VBN	Feminist Movement	NONE	neg
men_NNS women_NNS piece_NN meat_NN cook_VB eat_VB women_NNS	Feminist Movement	FAVOR	neg
start_VBG compile_VB evidence_NN blog_NN post_NN modern_JJ feminism_NN share_NNS traits_NNS nazi_JJ propaganda_NN anti_NNS feminism_NN	Feminist Movement	AGAINST	neg
love_VBP twitter_NN	Feminist Movement	NONE	neg
hope_VBP rap_VBN apparently_RB misogynists_NNS dare_NN not_RB bend_VB women_NNS	Feminist Movement	FAVOR	neg
radical_JJ feminist_NN feminist_JJ start_NN rethink_VBG position_NN feminism_NN	Feminist Movement	AGAINST	neg
honour_VBN inspirational_JJ @kon__k_NN founder_NN @asrc1_NNP real_JJ australians_NNS things_NNS matter_VBP	Feminist Movement	NONE	pos
feminists_NNS understand_VB feminism_NN	Feminist Movement	AGAINST	neg
work_NN people_NNS @everydaysexism_NN not_RB help_VBG women_NNS help_VBG society_NN	Feminist Movement	FAVOR	pos
wanna_VBP stay_VB home_NN raise_VB family_NN cool_NN choice_NN nobody_NN	Feminist Movement	FAVOR	neg
@suicidaljac3_RB eat_VB pus_NN lozer_NN	Feminist Movement	NONE	neg
women_NNS superior_JJ men_NNS aspect_NN feminist_NN	Feminist Movement	FAVOR	pos
@bruiseaurora_NNS advocate_VBG men_NNS stop_VB love_VBG women_NNS sex_NN everyday_JJ sexism_NN	Feminist Movement	AGAINST	neg
feminism_NN because-_NN man_NN room_NN full_JJ women_NNS ecstatic_JJ woman_NN room_NN full_JJ men_NNS terrify_VBN	Feminist Movement	FAVOR	neg
paul_JJ elam_RB not_RB hat_JJ men_NNS alive_JJ !?_VBZ feminist_NN	Feminist Movement	FAVOR	neg
women_NNS not_RB fair_JJ men_NNS stay_VBG home_NN sham_VBN society_NN change_VB people_NNS additudes_NNS everyday_JJ sexism_NN	Feminist Movement	FAVOR	neg
watch_VBG miss_JJ representation_NN change_VB world_NN women_NNS rule_VBP change_NN beauty_NN	Feminist Movement	FAVOR	neg
complain_VB equal_JJ rep_NN girls_NNS game_VBG princess_NN peach_NN zelda_NN kick-ass_JJ women_NNS samus_NN beast_NN game_NN	Feminist Movement	FAVOR	pos
woman_NN not_RB sex_NN object_NN person_NN truth_NN wisdom_NN womens_VBZ right_NNS media_NNS life_NN humanity_NN love_VBP society_NN	Feminist Movement	FAVOR	pos
umrao_JJ jaan_NN ada-_NN story_NN not_RB life_NN prostitute_NN poise_NN poesy_NN woman_NN power_NN	Feminist Movement	FAVOR	neg
lol_NN ugly_RB want_VBG equal_JJ	Feminist Movement	FAVOR	neg
hear_VB ugly_RB 1_CD 5_CD women_NNS sexually_RB assault_VBN time_NN college_NN misogyny_NN ugly_RB	Feminist Movement	FAVOR	neg
@amin86660132_JJ @justsoshelby_JJ nice_JJ work_NN happy_JJ hear_VB autistic_JJ friend_NN express_VB	Feminist Movement	NONE	pos
wtf_JJ literal_JJ fuck_NN evan_VBP sseing_VBG thing_NN	Feminist Movement	NONE	neg
radio_NNS fill_VBN feminist_JJ rape_JJ propaganda_NN feminism_NN alive_JJ malaysia_NN rape_NN guilt_NN tactics_NNS silence_VB	Feminist Movement	AGAINST	neg
solace_NN know_VBG mean_VBZ useless_JJ hack_NN @thehiredmind_NN	Feminist Movement	NONE	neg
no_DT feminists_NNS not_RB ugly_RB fact_NN equal_JJ right_NNS men_NNS women_NNS feminists_NNS beautiful_JJ	Feminist Movement	FAVOR	neg
meredith_NN give_VBG don_JJ crap_NN great_JJ holy_JJ crap_NN peggy_NN no_DT spoilers_NNS damn_NN great_JJ scene_NN peggy_JJ madmen_NNS	Feminist Movement	NONE	pos
guess_VBP definition_NN ugly_RB believe_VBG equal_JJ right_NNS ugly_RB	Feminist Movement	FAVOR	neg
strict_JJ gender_NN roles_NNS context_NN true_JJ marriage_NN devote_VBN raise_VBG children_NNS ideal_NN no_DT substitute_NNS top_JJ conservatives_NNS twitter_NN	Feminist Movement	AGAINST	pos
armchair_NN feminists_NNS panties_NNS wet_VBP social_JJ justice_NN warrior_RB tumblr_NN	Feminist Movement	AGAINST	neg
reason_NNS people_NNS feminism_NN dog_NN half_NN reason_NNS anti_NNS feminist_VBP	Feminist Movement	AGAINST	neg
@starsthomas_JJ dear_JJ god_NN fat_JJ	Feminist Movement	NONE	neg
feminists_NNS ugly_RB people_NNS call_VBG ugly_RB vile_JJ	Feminist Movement	FAVOR	neg
call_VB women_NNS cadigory_NN ill_NN boot_VBZ door_NN	Feminist Movement	FAVOR	neg
jest_NN ):_NN man_JJ world_NN y'know_VBP kaitlyn_NN blow_VB world_NN	Feminist Movement	FAVOR	neg
@awyee707_NN respect_VBP truck-suck_JJ not_RB respect_VB girls_NNS innate_NN choose_VBN doll-love_NN	Feminist Movement	FAVOR	neg
@awyee707_NN @tigerclaud_NN compare_VBN play_VBG dolls_NNS violent_JJ disposition_NN things_NNS gamer_NN gate_NN	Feminist Movement	NONE	neg
@optimist216_VB load_NN crap_NN dress_VBG appropriately_RB office_NN sexist_VBN grow_VB women_NNS	Feminist Movement	FAVOR	neg
not_RB schadenfreudes_NNS stand_VB tickle_NN @mt8_9_CD @prettysing_VBG	Feminist Movement	NONE	neg
@diistantecho_VB wee_NN sister_NN believe_VBZ santa_JJ claus_NN feminism_NN harder_JJR mean_VBZ	Feminist Movement	AGAINST	neg
@dancerlwt_NNS consider_VBN change_VBG twitter_NN handle_NN vagina_VB monologue_NN	Feminist Movement	AGAINST	neg
give_VB attention_NN never_RB give_VBD extreme_NN rule_NNS nepal_JJ earthquake_NN freddie_JJ gray_JJ rhoa_NN reunion_NN	Feminist Movement	NONE	neg
@nycinterlude_VBP worry_NN honey_NN intelligence_NN roadblock_NN full_JJ unquestioning_VBG faith_NN feminism_NN bleat_VBN	Feminist Movement	AGAINST	neg
feminist_NN female_NN long_JJ time_NN now.it'd_RB stupid_JJ not_RB side-maya_JJ angelou-_JJ feminist_NN humanist_NN	Feminist Movement	FAVOR	pos
@feminismvibes_NNS men_NNS admit_NN rap_VBN readily_RB women_NNS question_NN feminist_JJ bullshit_NN	Feminist Movement	AGAINST	neg
@vote4pedro____NN lie_VBD idiot_VBP fact_NN reason_NN acknowledge_VB facts_NNS reason_NN	Feminist Movement	NONE	neg
@ananddaranand_NN not_RB stop_VBG foe_NN ur_JJ tl_NN notice_VBP encourage_VBG post_VB topics_NNS interest_JJ tl_NN vaw_NN	Feminist Movement	NONE	neg
court_VBG patriarchal_JJ approval_NN condemn_VB sisters_NNS abuse_VB physical_JJ appearance_NN patriarchy_NN ugly_RB	Feminist Movement	FAVOR	neg
@skynews_NNS @eamonnholmes_NNS @skyjacquie_VBP guy_NN beach_NN body_NN ready_JJ advert_NN interview_VBN conclusion_NN arrogant_JJ male_JJ chauvinist_NN idiot_NN	Feminist Movement	FAVOR	neg
@rsiereilly_RB pretty_RB enjoy_VB response_NN	Feminist Movement	NONE	pos
contempo_JJ qiwaamah_NN longer_NN pay_VBD maternity_NN leave_NN flexi_JJ work_NN hours_NNS on-site_JJ childcare_NN breastfeeding/breastpumping_VBG room_NNS equal_JJ pay_NN	Feminist Movement	FAVOR	pos
@mrmikecalta_JJ proud_NN listen_VBP fat_VB cross_JJ eye_VBN mj_NN	Feminist Movement	NONE	neg
reason_NN stop_VBD entrance_NN walk_VBG street_NN law_NN attraction_NN viewpoint_NN daily_JJ devotional_NN	Feminist Movement	NONE	pos
