Tweet	Target	Stance	Sentiment
delight_NN chest-drumming_JJ alpha_NN males_NNS hiss_VBP scuttle_VBP backwards_NNS wall_NN feminist_NN enter_VBZ favor_NN manly_RB	Feminist Movement	FAVOR	neg
overheat_NN shirt_NN social_JJ expectations_NNS favor_NNS breast_NNS	Feminist Movement	FAVOR	neg
feminists_NNS against_VBD 1/2_CD time_NN read_VBG paper_NNS against_IN real_JJ favor_NNS favor_RB ignorant_JJ sexist_JJ bigots_NNS	Feminist Movement	AGAINST	neg
stupid_JJ feminists_NNS civilization_NN grant_VBN build_VBN labour_NN blood_NN sweat_NN tear_NNS men_NNS	Feminist Movement	AGAINST	neg
favor_NN sex_NN drive_NN favor_NN slut_NN feminist_NN	Feminist Movement	FAVOR	neg
sun_NNS ...._VBP favor_VBZ street_NN harassment_NN daily_JJ favor_NN favor_NNS favor_NN	Feminist Movement	FAVOR	neg
favor_NN favor_NNS human_JJ favor_NNS join_NN cpd_NN favor_NNS twitter_RB rally_RB 3pm_CD agree_VBP cpd48_NN	Feminist Movement	FAVOR	pos
support_VBP unequal_JJ price_NN base_VBN favor_NN @camillebogrand_NN favor_VB sexism_NN favor_JJ pay_NN day_NN	Feminist Movement	FAVOR	neg
picture_NNS pornstars_NNS with/without_IN favor_NN perpetuate_VBG myth_NN favor_NNS favor_NN consider_VBN pretty_RB	Feminist Movement	FAVOR	neg
favor_NNS protect_VB carry_VBP gun_NN republican_JJ value_NNS	Feminist Movement	FAVOR	pos
link_NNS sauga_NN gotta_NN stop_VB chincing_VBG favor_NNS take_VBG extra_JJ bite_NN favor_NN	Feminist Movement	FAVOR	neg
rt_NN @isocynic_NN support_NN team_NN buck_NN support_VBZ true_JJ fan_NN socceroos_NN body_NN positive_JJ	Feminist Movement	NONE	pos
tire_VBN anti-womanist_JJ respectability_NN politics_NNS safe_JJ space_NN favor_NNS club_NN favor_NN	Feminist Movement	FAVOR	neg
feminist_NN hate_VBP men_NNS kill_VB	Feminist Movement	AGAINST	neg
favor_NNS make_VB 75%_CD men_NNS job_NN favor_NNS average_NN make_VBP men_NNS feminazis_RB favor_JJ pay_NN day_NN	Feminist Movement	AGAINST	neg
@lucyblakeman12_NN feminism_RB favor_NN survive_JJ speak_JJ w/o_NN	Feminist Movement	FAVOR	neg
mras_NNS enlighten_VB flight_NN hindenburg_NN	Feminist Movement	FAVOR	neg
girls/women_NNS against_VB time_NN pretty_RB attractive_JJ complain_VB reduce_VBN sex_NN symbol_NN	Feminist Movement	AGAINST	neg
@randomtweetor_NN hate_VBP break_VB bruh_VB favor_NNS pretty_VB pretty_RB show_VB favor_NNS feminist_VBP	Feminist Movement	FAVOR	neg
job_NN candidate_NN favor_NN favor_NN matter_RBR anymore_RB 2015_CD favor_NN henry_NN	Feminist Movement	FAVOR	pos
favor_NN black_JJ eye_NNS nothing_NN tell_VBN	Feminist Movement	AGAINST	neg
favor_VB favor_NNS develop_VBN begin_NN 18_CD century_NN favor_NN	Feminist Movement	FAVOR	neg
time_NN favor_NN favor_NN	Feminist Movement	FAVOR	pos
chip_NN kidd_NN announce_VBZ readers_NNS ask_VBZ hold_VB applause_NN audience_NN hold_VBD back_RP @gloriasteinem_NN poetry_NN	Feminist Movement	NONE	pos
favor_NNS pay_VBN men_NNS pornography_NN no_DT talk_VBG blatant_JJ sexism_NN ?!_NNP @amazingatheist_NN	Feminist Movement	AGAINST	neg
favor_NN favor_NNS blame_VBN prostitution_NN justice_JJ inequality_NN	Feminist Movement	FAVOR	neg
marry_JJ 49-year-old_JJ ceo_NN favor_NN influence_NN shag_VB 22-year-old_JJ intern_NN hillary_NN	Feminist Movement	FAVOR	neg
love_VBP favor_NN @ericwynalda_NN @meganrapinoe_15_NN hell_NN @foxsports1_NNP diminish_VB favor_NN soccer_NN wnt_VBP	Feminist Movement	FAVOR	neg
men_NNS talk_VB favor_NN important_JJ goddess_NN deserve_NN silence_VBN	Feminist Movement	FAVOR	pos
finally_RB favor_NNS run_VBG president_NN	Feminist Movement	FAVOR	pos
piss_VBD talk_VBN	Feminist Movement	FAVOR	neg
@sirwilliamvalen_NN insult_NN think_VBG make_VB switch_NN write_VBN	Feminist Movement	NONE	neg
@yaahnemba_NNS think_VBD blue_JJ jeans_NNS hat_VBZ favor_RB favor_NN make_VBN	Feminist Movement	NONE	neg
favor_NNS favor_NNS !!_NN	Feminist Movement	FAVOR	pos
@theruies_NNS @xdirtydianna_VBP favor_RB part_NN squad_NN females_VBZ favor_NNS look_VBN hoe_NN	Feminist Movement	FAVOR	neg
upset_VBZ favor_NNS narrow-minded_JJ feminism_VB favor_VBG men_NNS favor_RB	Feminist Movement	FAVOR	neg
obsess_VBN favor_NN comfortable_NN skin_NN sandra_VB cisneros_JJ latin_JJ woc_NN	Feminist Movement	FAVOR	pos
yell_VBN boyfriend_NN win_VB mortal_JJ kombat_NN	Feminist Movement	FAVOR	neg
extinction_NN insects_NNS dangerous_JJ herbs_NN gigolo_NN service_NNS religious_JJ fanaticism_NN fake_JJ beercans-y_JJ malaysia_NN radio&media_NN fail2discuss_NN	Feminist Movement	NONE	neg
rt_NN @wgsndsu_NN demand_NN cat-calling_JJ favor_NNS ndsu_JJ feminist_JJ feminist_NN favor_NNS dog_NNS	Feminist Movement	FAVOR	pos
find_VB funny_JJ feminists_VBZ man_NN against_VB mean_VBZ	Feminist Movement	AGAINST	neg
@myrainbowninja_NN @notallbhas_IN farm_NN fuck_VBG disgust_VBG	Feminist Movement	NONE	neg
rt_NN @rossansguil_NN nothing_NN dudes_NNS joke_VBG molest_VBG face_NN	Feminist Movement	FAVOR	neg
read_VBG gg_JJ tweet_NNS angrier_RB fuuuuuuuuuuuck_VBN men_NNS privilege_VBN time_NN bed_NN feminism_NN great_JJ	Feminist Movement	FAVOR	neg
@fudgieebuddiee_NNS favor_NNS sensitive_JJ favor_NN roles_NNS sexist_VBP swine_VB	Feminist Movement	FAVOR	neg
