Tweet	Target	Stance	Sentiment
@tedcruz And, #HandOverTheServer she wiped clean + 30k deleted emails, explains dereliction of duty/lies re #Benghazi,etc #tcot	Hillary Clinton	AGAINST	neg
Hillary is our best choice if we truly want to continue being a progressive nation. #Ohio	Hillary Clinton	FAVOR	pos
@TheView I think our country is ready for a female pres, it can't ever be Hillary	Hillary Clinton	AGAINST	neg
I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. #WhyImNotVotingForHillary	Hillary Clinton	AGAINST	neg
@PortiaABoulger Thank you for adding me to your list	Hillary Clinton	NONE	pos
Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016	Hillary Clinton	AGAINST	neg
Respect FOR the law and respect BY the law Yes, needed desperately.  #BaltimoreRiots	Hillary Clinton	NONE	pos
I don't want to be appointed to an Ambassador post.	Hillary Clinton	NONE	neg
#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO	Hillary Clinton	AGAINST	neg
@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton	Hillary Clinton	AGAINST	neg
Use your brain, keep Hillary out of the White House.Clinton2016	Hillary Clinton	AGAINST	neg
@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash	Hillary Clinton	AGAINST	neg
@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world	Hillary Clinton	FAVOR	pos
@CiaraAntaya cuz you know I'm such a feminist 	Hillary Clinton	NONE	other
2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary	Hillary Clinton	AGAINST	neg
@lindasuhler : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. @twitchyteam	Hillary Clinton	NONE	pos
Where's the campaign store is the real question? I am ready to buy some Hillary gear	Hillary Clinton	FAVOR	pos
It's a miracle, suddenly #Democrats don't mind having someone who voted for war.	Hillary Clinton	AGAINST	neg
@smileitsalicia @greekgummybear2 now i can live in peace	Hillary Clinton	NONE	pos
Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future.	Hillary Clinton	AGAINST	neg
The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running #2016 #Clinton2016	Hillary Clinton	AGAINST	neg
@HomeOfUncleSam @ScotsFyre @RWNutjob1 @SA_Hartdegen She's too old to understand the internet...that she can be fact checked.	Hillary Clinton	AGAINST	neg
Because Communist Breadlines are not my thing! #NoHillary #WhyImNotVotingForHillary	Hillary Clinton	AGAINST	neg
@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.	Hillary Clinton	AGAINST	neg
Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president.	Hillary Clinton	AGAINST	neg
Yes HRC subject 2 dbl standard Smh Come on @billclinton @HillaryClinton U Knew @ClintonFdn Donations Would b Scrutinized; Spun!	Hillary Clinton	AGAINST	neg
#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo	Hillary Clinton	AGAINST	neg
I want America to great again #WhyImNotVotingForHillary	Hillary Clinton	AGAINST	pos
March 8, 2016 Ohio is holding our Primaries! The date is subject to change. #Ohio #OurChampion	Hillary Clinton	NONE	pos
@RIGHTZONE @WethePeoplePets Let's hope the VOTERS remember! #HillNo	Hillary Clinton	AGAINST	pos
Hillary Clinton has not driven a car since 1996. #clintonfakerealityshow	Hillary Clinton	AGAINST	neg
@NaughtyBeyotch @TheRealMadman23  Don't care for #Fiorina, but it seems she taking the #sexist gut punches by the #media. #MSM	Hillary Clinton	NONE	neg
@FoxNews @marthamaccallum @BillHemmer whose the opportunist now, #NoHillary2016	Hillary Clinton	AGAINST	neg
@HillaryClinton @WomenintheWorld we need to re-establish a #global system dominated by love and affection have #moral_humane RT	Hillary Clinton	FAVOR	pos
#Hillary is as transparent as a brick wall #LibertyNotHillary	Hillary Clinton	AGAINST	neg
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary	Hillary Clinton	AGAINST	neg
@josephbenning I agree, these are better than what you had before, like a severe cold is better than pneumonia. Good luck.	Hillary Clinton	NONE	other
What are you afraid of @HillaryClinton? If you can't answer questions from the press, why do we want you as POTUS	Hillary Clinton	AGAINST	neg
Sorry, Hillary's new normal folk image doesn't take away from Behgnazi & her 0 foreign policy successes as Secretary of State.	Hillary Clinton	AGAINST	neg
CEO pay the target for 2016 election. From someone who makes more than most CEO's but you drank the Kool-Aid.	Hillary Clinton	NONE	neg
@NBCNews including repealing the first amendment. Way to go	Hillary Clinton	AGAINST	neg
@NBCNews Stop promoting @HillaryClinton. She is a liar. Just like her impeached husband. #WakeUpAmerica 	Hillary Clinton	AGAINST	neg
Lets take back our country! Whos with me? No more Democrats!2016	Hillary Clinton	AGAINST	pos
RT @AnthonyCumia: If Hillary IS elected, I have my transition team together to smoothly move me from a racist to a sexist.	Hillary Clinton	AGAINST	neg
I'm #ThatChampion who got kicked off the #Watergate team due to misconduct.  #tcot	Hillary Clinton	NONE	neg
.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!	Hillary Clinton	AGAINST	neg
@JVollmer08 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia	Hillary Clinton	FAVOR	pos
